IID,T1,T2,AGE,SEX,PC1,PC2,PC3,PC4,PC5,pop,super_pop
HG00123,1,1,57,2,-0.0112802,0.0269888,0.0124424,0.0179662,0.00803078,GBR,EUR
HG00125,2,2,58,2,-0.0116118,0.0264334,0.0133269,0.0185511,0.00478529,GBR,EUR
HG00126,1,1,37,1,-0.0112588,0.027493,0.010706,0.017871,-0.00286451,GBR,EUR
HG00127,2,1,50,2,-0.0115133,0.0270565,0.0111983,0.0167402,-0.000407027,GBR,EUR
HG00128,1,2,63,2,-0.0112497,0.0272136,0.010551,0.01752,-0.00109658,GBR,EUR
HG00129,1,1,61,1,-0.0113034,0.0270604,0.0110814,0.0166891,-0.00137689,GBR,EUR
HG00130,2,2,68,2,-0.0111126,0.0268215,0.0103094,0.0176262,-0.00130085,GBR,EUR
HG00131,2,2,35,1,-0.011344,0.0265522,0.0128357,0.0203061,0.00747866,GBR,EUR
HG00132,1,1,33,2,-0.0110714,0.0271126,0.010441,0.0177639,-0.00194285,GBR,EUR
HG00133,1,1,60,2,-0.0111474,0.0266167,0.01247,0.0181515,0.0059466,GBR,EUR
HG00136,2,2,49,1,-0.0115599,0.0261834,0.0130707,0.0198824,0.00310466,GBR,EUR
HG00137,1,1,57,2,-0.0117324,0.026367,0.0125612,0.0199247,0.00491882,GBR,EUR
HG00138,2,2,48,1,-0.011421,0.0268915,0.0132058,0.0205202,0.00459903,GBR,EUR
HG00139,2,1,63,1,-0.0114035,0.0267775,0.0133074,0.020491,-0.000585555,GBR,EUR
HG00140,1,1,53,1,-0.0115511,0.0263213,0.0123746,0.0194423,-0.000858075,GBR,EUR
HG00141,2,1,70,1,-0.01143,0.0274218,0.0113356,0.0169771,-0.00540263,GBR,EUR
HG00142,2,2,45,1,-0.0111876,0.0270384,0.0111814,0.0187337,-0.00144453,GBR,EUR
HG00143,2,1,65,1,-0.0109615,0.0273079,0.0108265,0.0176219,-0.00271325,GBR,EUR
HG00145,1,1,57,1,-0.0115589,0.0264386,0.0124063,0.0195403,0.00674574,GBR,EUR
HG00146,2,1,63,2,-0.0115653,0.0266229,0.0136849,0.020223,0.00550592,GBR,EUR
HG00148,1,2,36,1,-0.0112391,0.0269704,0.0105406,0.0178397,-0.0045786,GBR,EUR
HG00149,2,1,46,1,-0.0111222,0.0272707,0.0124107,0.0183593,-0.00426841,GBR,EUR
HG00150,2,1,45,2,-0.0113571,0.026476,0.0114382,0.0170752,0.000677776,GBR,EUR
HG00151,1,1,46,1,-0.0113395,0.0264958,0.0108727,0.017261,-0.00200687,GBR,EUR
HG00154,2,2,40,2,-0.0115966,0.0271554,0.0138495,0.0202181,0.0057396,GBR,EUR
HG00155,2,1,54,1,-0.0118218,0.0265983,0.0137752,0.018879,0.00545438,GBR,EUR
HG00157,1,2,52,1,-0.0113544,0.0267923,0.0140288,0.0204023,0.00832783,GBR,EUR
HG00158,1,2,54,2,-0.0113607,0.0261812,0.0139617,0.0188744,0.00726948,GBR,EUR
HG00159,1,2,69,1,-0.0114577,0.0266272,0.0133604,0.0198989,0.00778152,GBR,EUR
HG00160,1,1,65,1,-0.011537,0.0266019,0.0132736,0.0194039,0.00543014,GBR,EUR
HG00171,1,1,39,2,-0.0123661,0.022191,0.0140062,0.0166261,0.0107999,FIN,EUR
HG00173,2,2,54,2,-0.012294,0.0228211,0.01318,0.0155709,0.00784572,FIN,EUR
HG00174,2,1,52,2,-0.0118609,0.0239898,0.0147283,0.0177753,0.00796257,FIN,EUR
HG00176,2,1,46,2,-0.0119481,0.0224425,0.013557,0.0168939,0.0109696,FIN,EUR
HG00177,1,2,45,2,-0.0120872,0.0215237,0.0123953,0.014806,0.0110039,FIN,EUR
HG00178,1,2,56,2,-0.0120164,0.0229168,0.0120569,0.0172582,0.00705902,FIN,EUR
HG00179,2,2,73,2,-0.0118496,0.0222433,0.0126222,0.0155602,0.00906512,FIN,EUR
HG00180,1,1,50,2,-0.0121407,0.0221744,0.0123412,0.0164346,0.00635423,FIN,EUR
HG00181,2,1,50,1,-0.010981,0.0232822,0.0107227,0.0166872,0.00380809,FIN,EUR
HG00182,2,2,44,1,-0.0117276,0.0221111,0.0128682,0.0145938,0.00781424,FIN,EUR
HG00183,2,2,59,1,-0.0118477,0.0226988,0.0122479,0.016088,0.00972021,FIN,EUR
HG00185,1,2,42,1,-0.0119079,0.022427,0.0116463,0.0159605,0.00681034,FIN,EUR
HG00186,2,2,44,1,-0.0121812,0.0225759,0.0136916,0.0156706,0.00958601,FIN,EUR
HG00187,2,1,35,1,-0.0117435,0.021965,0.0134757,0.0153191,0.0103182,FIN,EUR
HG00188,2,2,49,1,-0.0119224,0.0232664,0.0121925,0.0158055,0.00633385,FIN,EUR
HG00189,1,2,52,1,-0.0119032,0.0225005,0.0124978,0.0167625,0.00588296,FIN,EUR
HG00190,1,2,59,1,-0.0116885,0.0233375,0.0112548,0.0160296,0.005381,FIN,EUR
HG00231,1,2,65,2,-0.0110693,0.026545,0.0115514,0.0171257,-0.00135744,GBR,EUR
HG00232,1,1,73,2,-0.0114972,0.0269402,0.0123792,0.0180104,0.00489144,GBR,EUR
HG00233,1,2,54,2,-0.0111457,0.0268601,0.0111155,0.0167979,0.000182883,GBR,EUR
HG00234,1,1,34,1,-0.0113469,0.0269109,0.0103852,0.017166,0.000499464,GBR,EUR
HG00235,2,1,62,2,-0.0111911,0.0272803,0.0105387,0.0168394,0.000502377,GBR,EUR
HG00236,2,2,58,2,-0.0111347,0.0269785,0.0130719,0.0204422,0.00192675,GBR,EUR
HG00237,1,1,38,2,-0.0112503,0.0264805,0.0123424,0.0204236,0.000346542,GBR,EUR
HG00238,2,2,61,2,-0.0113339,0.0268612,0.0105568,0.0169604,-0.00282919,GBR,EUR
HG00239,1,2,47,2,-0.0108847,0.0272418,0.0123929,0.0191542,0.00408681,GBR,EUR
HG00240,2,2,41,2,-0.0113277,0.0271784,0.0110376,0.0166322,-0.00379656,GBR,EUR
HG00242,1,1,55,1,-0.0112884,0.0267152,0.0132592,0.0184411,0.00686193,GBR,EUR
HG00243,1,1,48,1,-0.0113071,0.0272012,0.0125714,0.0180037,0.00647736,GBR,EUR
HG00244,1,1,55,1,-0.0112315,0.0265732,0.0123016,0.0192229,0.00338227,GBR,EUR
HG00245,2,2,55,2,-0.0112535,0.026477,0.0125796,0.019425,0.00706017,GBR,EUR
HG00246,1,1,65,1,-0.011411,0.0266597,0.0118902,0.0185977,0.00119046,GBR,EUR
HG00250,2,1,46,2,-0.0115053,0.0264945,0.0119667,0.0186712,0.000390022,GBR,EUR
HG00251,2,2,46,1,-0.011363,0.0265586,0.0116777,0.0181665,-0.00112185,GBR,EUR
HG00252,1,2,45,1,-0.0115586,0.0264309,0.0129228,0.0200561,-0.001477,GBR,EUR
HG00253,2,2,44,2,-0.0113739,0.0266988,0.0123522,0.0204818,0.000123926,GBR,EUR
HG00254,1,2,47,2,-0.0112792,0.0263826,0.0123928,0.0188663,-0.000412811,GBR,EUR
HG00255,2,2,43,2,-0.011197,0.0269035,0.0124865,0.0178052,0.00242909,GBR,EUR
HG00256,2,2,62,1,-0.0114802,0.0265718,0.0125478,0.0210165,0.000332091,GBR,EUR
HG00257,2,1,56,2,-0.0112896,0.0264274,0.0120358,0.0196654,-0.000941341,GBR,EUR
HG00258,2,2,58,2,-0.0113659,0.0267754,0.0143222,0.0210341,0.00728011,GBR,EUR
HG00259,2,2,66,2,-0.0114406,0.0265097,0.0128316,0.0197613,-0.00108489,GBR,EUR
HG00260,2,2,69,1,-0.0114287,0.0267945,0.0128743,0.0197029,-0.000122326,GBR,EUR
HG00261,1,2,46,2,-0.0115458,0.0265545,0.0122185,0.0207084,-0.00125127,GBR,EUR
HG00262,2,2,38,2,-0.0116112,0.026979,0.0131055,0.018968,0.00886706,GBR,EUR
HG00263,2,2,50,2,-0.0114171,0.0266286,0.0125244,0.0191051,0.00276228,GBR,EUR
HG00264,1,1,58,1,-0.0112245,0.0262963,0.0134033,0.0187011,0.00681128,GBR,EUR
HG00265,1,1,58,1,-0.0114105,0.0275489,0.012426,0.0193186,0.00462141,GBR,EUR
HG00266,2,1,59,2,-0.0117792,0.0227087,0.0122804,0.0157051,0.00882267,FIN,EUR
HG00267,1,2,57,1,-0.0120405,0.02263,0.0120546,0.0166227,0.00815017,FIN,EUR
HG00268,1,2,8,2,-0.0119253,0.0231651,0.0136499,0.0192356,0.00973293,FIN,EUR
HG00269,2,1,49,2,-0.0118798,0.0228869,0.0122676,0.0156154,0.010244,FIN,EUR
HG00271,2,2,54,1,-0.0120053,0.0215307,0.013485,0.017903,0.0124268,FIN,EUR
HG00272,1,2,39,2,-0.0121367,0.0210638,0.0133473,0.0166071,0.0151074,FIN,EUR
HG00273,1,2,39,1,-0.0118412,0.0228082,0.0134014,0.0177281,0.00815837,FIN,EUR
HG00274,2,2,56,2,-0.012149,0.0231864,0.0149906,0.0186152,0.0115332,FIN,EUR
HG00275,1,2,54,2,-0.0120748,0.0228805,0.0135098,0.0187501,0.0102169,FIN,EUR
HG00276,2,2,46,2,-0.0118307,0.0223526,0.0143916,0.0171173,0.0119318,FIN,EUR
HG00277,2,1,38,1,-0.011994,0.0236419,0.013087,0.0182143,0.00924256,FIN,EUR
HG00278,2,1,57,1,-0.0121024,0.0225833,0.0138455,0.016678,0.0123553,FIN,EUR
HG00280,1,1,49,1,-0.0121961,0.0224834,0.0144815,0.0186725,0.0121795,FIN,EUR
HG00281,2,2,45,2,-0.0122364,0.0227946,0.0145962,0.0172824,0.0126373,FIN,EUR
HG00282,2,2,50,2,-0.0120359,0.0220757,0.0136044,0.0181939,0.0147236,FIN,EUR
HG00284,1,1,41,1,-0.0123088,0.0225573,0.0140282,0.0176922,0.0133415,FIN,EUR
HG00285,1,1,55,2,-0.0122709,0.0218546,0.0135995,0.0177692,0.0139466,FIN,EUR
HG00288,1,1,53,2,-0.0119404,0.0232233,0.00958005,0.0138088,-0.00368603,FIN,EUR
HG00290,2,2,48,1,-0.0118481,0.0223192,0.00976822,0.0138598,-0.00442122,FIN,EUR
HG00304,2,2,56,2,-0.011764,0.0229898,0.0104751,0.0132067,0.00147461,FIN,EUR
HG00306,1,1,57,2,-0.012017,0.0243204,0.0127259,0.0171043,0.0106948,FIN,EUR
HG00308,2,1,48,1,-0.0119442,0.0221858,0.0135696,0.0169693,0.012018,FIN,EUR
HG00309,2,1,38,2,-0.0117185,0.0226723,0.0141622,0.0171995,0.00961628,FIN,EUR
HG00310,2,2,37,1,-0.012037,0.023571,0.0141222,0.0189237,0.0109422,FIN,EUR
HG00311,2,2,33,1,-0.0122037,0.0244831,0.013637,0.0184965,0.0108116,FIN,EUR
HG00313,1,1,63,2,-0.0121764,0.0220629,0.0144782,0.0175914,0.0116872,FIN,EUR
HG00315,2,2,46,2,-0.0121642,0.0224128,0.0146145,0.0163659,0.0121526,FIN,EUR
HG00318,2,2,48,2,-0.0120527,0.0235341,0.0135617,0.017485,0.011995,FIN,EUR
HG00319,1,1,54,2,-0.0121348,0.0224295,0.0136006,0.0179601,0.0158056,FIN,EUR
HG00320,2,2,69,2,-0.0120594,0.0227644,0.0143096,0.0178635,0.0100069,FIN,EUR
HG00321,2,2,59,1,-0.0123194,0.02207,0.0137609,0.0174441,0.0107398,FIN,EUR
HG00323,1,1,53,2,-0.0121642,0.0218199,0.0136123,0.0184256,0.013227,FIN,EUR
HG00324,1,1,68,2,-0.0119852,0.0223972,0.0152813,0.0170692,0.0134414,FIN,EUR
HG00325,2,1,43,1,-0.0125331,0.0214789,0.0150501,0.0175046,0.0137357,FIN,EUR
HG00326,1,1,59,2,-0.0120775,0.0227939,0.0143518,0.0184544,0.0129166,FIN,EUR
HG00327,2,1,51,2,-0.0120113,0.0224165,0.0137455,0.0179463,0.010968,FIN,EUR
HG00328,1,2,59,2,-0.0124118,0.0226934,0.0154876,0.0178519,0.0101168,FIN,EUR
HG00329,1,1,46,1,-0.0118299,0.0230715,0.0133831,0.0181572,0.0107254,FIN,EUR
HG00330,1,1,49,2,-0.0119901,0.0226859,0.0142746,0.018049,0.0120423,FIN,EUR
HG00331,2,1,53,2,-0.0119947,0.0224679,0.0138309,0.0181782,0.0108612,FIN,EUR
HG00332,2,2,51,2,-0.0119899,0.0229456,0.0127586,0.0168804,0.00814136,FIN,EUR
HG00334,2,2,63,2,-0.0118613,0.0238558,0.014604,0.018653,0.00912003,FIN,EUR
HG00335,1,2,65,1,-0.0120335,0.0230615,0.0137814,0.0184908,0.00810643,FIN,EUR
HG00336,2,2,48,1,-0.0122551,0.0219663,0.0133489,0.0184848,0.0144007,FIN,EUR
HG00337,2,1,55,2,-0.0119949,0.0235316,0.0139745,0.0185052,0.00672374,FIN,EUR
HG00338,2,2,44,1,-0.011837,0.0226898,0.0135761,0.0184543,0.0139042,FIN,EUR
HG00339,1,1,45,2,-0.0120635,0.0221995,0.0133096,0.0183975,0.011771,FIN,EUR
HG00341,2,2,51,1,-0.0112373,0.0229991,0.0119102,0.0169793,0.00580904,FIN,EUR
HG00342,1,1,60,1,-0.0124011,0.0225059,0.0141224,0.0183813,0.0134244,FIN,EUR
HG00343,1,1,60,2,-0.0120793,0.0228053,0.0144592,0.0185096,0.0132331,FIN,EUR
HG00344,1,2,41,2,-0.0119488,0.0247689,0.0129206,0.018898,0.0114399,FIN,EUR
HG00345,2,2,66,1,-0.0119539,0.0225337,0.0140374,0.0181535,0.0075336,FIN,EUR
HG00346,1,2,69,2,-0.0118411,0.0230803,0.0140788,0.0181715,0.00689008,FIN,EUR
HG00349,1,2,61,2,-0.0118189,0.0229443,0.0116199,0.0154684,0.00850569,FIN,EUR
HG00350,1,1,44,2,-0.01152,0.0247799,0.0120915,0.0159498,0.00447711,FIN,EUR
HG00351,1,1,53,1,-0.0119517,0.0230489,0.0123984,0.0158063,0.00940874,FIN,EUR
HG00353,1,1,44,2,-0.0121791,0.02228,0.0135269,0.0182219,0.00747681,FIN,EUR
HG00355,2,2,51,2,-0.0118546,0.0236691,0.0125844,0.0153624,0.00920244,FIN,EUR
HG00356,2,2,37,2,-0.0117792,0.023171,0.0124566,0.0150419,0.00584429,FIN,EUR
HG00357,1,1,31,2,-0.0121284,0.023453,0.013724,0.0182199,0.0138577,FIN,EUR
HG00358,2,1,54,1,-0.0120097,0.0219146,0.0132889,0.0140096,0.00960496,FIN,EUR
HG00360,2,1,57,1,-0.011717,0.0242689,0.0111727,0.015722,0.00355375,FIN,EUR
HG00361,2,1,51,2,-0.0122856,0.0216679,0.0127936,0.0163496,0.0161188,FIN,EUR
HG00362,1,1,49,2,-0.0118837,0.0234638,0.0113574,0.0145612,0.00465522,FIN,EUR
HG00364,1,1,52,2,-0.0117318,0.0235157,0.0125291,0.0152859,0.0044902,FIN,EUR
HG00365,1,2,43,2,-0.012027,0.022633,0.0121227,0.0146997,0.00959169,FIN,EUR
HG00366,1,2,56,1,-0.0122718,0.0226546,0.0134393,0.0161183,0.0152381,FIN,EUR
HG00367,1,2,59,2,-0.012208,0.0225983,0.0139003,0.0172108,0.0128477,FIN,EUR
HG00368,1,1,39,2,-0.0121568,0.0218554,0.013279,0.0168745,0.0142065,FIN,EUR
HG00369,1,1,57,1,-0.0120246,0.022236,0.0134758,0.0167033,0.0145363,FIN,EUR
HG00371,2,2,58,1,-0.0119698,0.0233663,0.0129585,0.0166677,0.0132123,FIN,EUR
HG00372,2,2,50,1,-0.0123076,0.0230625,0.0140267,0.0171476,0.0141375,FIN,EUR
HG00373,2,1,37,2,-0.01238,0.0217418,0.0142145,0.0161686,0.0161594,FIN,EUR
HG00375,1,2,63,1,-0.0121086,0.0225915,0.013775,0.0178001,0.0122667,FIN,EUR
HG00376,1,1,57,2,-0.0119654,0.0237923,0.0134508,0.0180162,0.00839904,FIN,EUR
HG00378,2,1,45,2,-0.0121402,0.022581,0.0138502,0.0178298,0.00768319,FIN,EUR
HG00379,2,2,44,2,-0.0118206,0.0235812,0.0124827,0.0164998,0.0108772,FIN,EUR
HG00380,1,2,53,2,-0.0116482,0.0246771,0.0128917,0.0182036,0.00999111,FIN,EUR
HG00381,1,2,60,2,-0.0123252,0.0228419,0.0141809,0.0176871,0.00771258,FIN,EUR
HG00382,2,2,57,1,-0.0119201,0.0218802,0.01345,0.0177944,0.0108964,FIN,EUR
HG00383,2,2,59,2,-0.0119604,0.0220307,0.0141957,0.0172315,0.00942131,FIN,EUR
HG00384,2,2,52,2,-0.0121453,0.0235058,0.01361,0.0173716,0.0140495,FIN,EUR
HG00403,2,2,19,1,-0.0154438,-0.0339869,0.00709455,0.0159428,0.00503452,CHS,EAS
HG00404,1,1,50,2,-0.0156826,-0.0346076,0.00711245,0.0150792,0.00340892,CHS,EAS
HG00406,2,2,57,1,-0.015567,-0.0348794,0.00497043,0.0156047,-0.00126627,CHS,EAS
HG00407,2,2,40,2,-0.015715,-0.0342494,0.00545332,0.0157984,-0.00195527,CHS,EAS
HG00409,1,2,44,1,-0.015374,-0.0342766,0.00392963,0.011116,-0.0141908,CHS,EAS
HG00410,1,1,43,2,-0.0150433,-0.0340031,0.00248769,0.0110942,-0.0147087,CHS,EAS
HG00419,1,1,59,2,-0.0156361,-0.0345084,0.00587755,0.0153171,-0.000286817,CHS,EAS
HG00421,1,1,58,1,-0.0155062,-0.0346259,0.00563136,0.0158817,-5.47816e-05,CHS,EAS
HG00422,2,1,37,2,-0.0155956,-0.0347646,0.00561169,0.0160075,-0.000699061,CHS,EAS
HG00428,1,1,52,2,-0.015734,-0.0347722,0.00621145,0.0157472,-0.0010555,CHS,EAS
HG00436,1,2,29,1,-0.0156346,-0.0349874,0.00676052,0.0146363,0.000660981,CHS,EAS
HG00437,2,2,36,2,-0.0157226,-0.0348311,0.00608693,0.0152066,-0.00264811,CHS,EAS
HG00442,1,1,52,1,-0.0157472,-0.0353694,0.00647173,0.0164041,-0.00370816,CHS,EAS
HG00443,2,1,68,2,-0.0156351,-0.034166,0.00562522,0.0152453,-0.00359432,CHS,EAS
HG00445,1,1,59,1,-0.0156648,-0.0341651,0.0057553,0.0150882,-0.00296113,CHS,EAS
HG00446,1,2,63,2,-0.0157729,-0.0346265,0.00580611,0.0147552,-0.00284161,CHS,EAS
HG00448,2,2,52,1,-0.0154266,-0.0344466,0.00655118,0.0140512,-0.000127841,CHS,EAS
HG00449,2,1,48,2,-0.0156747,-0.0347827,0.0060197,0.0150227,-0.000391183,CHS,EAS
HG00451,1,1,58,1,-0.0157678,-0.0348561,0.00663424,0.0159078,0.00176431,CHS,EAS
HG00452,1,1,51,2,-0.0154369,-0.0342378,0.00601312,0.0154191,-0.00409701,CHS,EAS
HG00457,1,2,65,1,-0.0156705,-0.0350393,0.00525177,0.0150585,-0.00289256,CHS,EAS
HG00458,1,2,45,2,-0.0156813,-0.0344728,0.00574576,0.01476,-0.00429762,CHS,EAS
HG00463,1,1,49,1,-0.0158288,-0.0346178,0.00764715,0.0165933,-0.00016114,CHS,EAS
HG00464,2,2,61,2,-0.0156685,-0.0345299,0.00631426,0.0151672,0.0025338,CHS,EAS
HG00472,1,1,58,1,-0.0155399,-0.0348194,0.00578172,0.0153218,-0.00247792,CHS,EAS
HG00473,1,1,48,2,-0.0154456,-0.0349805,0.00512551,0.0153729,-0.00365166,CHS,EAS
HG00475,2,2,48,1,-0.0155508,-0.0345933,0.00581464,0.0157277,0.000130542,CHS,EAS
HG00476,1,1,45,2,-0.0158552,-0.0345564,0.00547778,0.0145874,-0.00143086,CHS,EAS
HG00478,1,1,34,1,-0.0155922,-0.035463,0.00740993,0.0159156,-0.00154148,CHS,EAS
HG00479,1,1,54,2,-0.0158432,-0.0345318,0.00630612,0.0159934,-0.00148585,CHS,EAS
HG00500,2,1,51,1,-0.0157217,-0.0348099,0.00782461,0.0157216,0.00494789,CHS,EAS
HG00513,1,1,45,2,-0.0156824,-0.0346534,0.00606559,0.0168835,0.000586163,CHS,EAS
HG00524,2,1,67,1,-0.0157786,-0.0340866,0.00691284,0.0157794,0.000474627,CHS,EAS
HG00525,1,1,65,2,-0.015714,-0.0341898,0.00715036,0.0140157,-0.00108342,CHS,EAS
HG00530,2,1,57,1,-0.0156284,-0.034588,0.00606928,0.0157382,0.00367229,CHS,EAS
HG00531,2,1,58,2,-0.0156579,-0.0341869,0.00604304,0.0154219,0.00115743,CHS,EAS
HG00533,2,1,62,1,-0.0158367,-0.0342992,0.00708233,0.015894,0.00378053,CHS,EAS
HG00534,2,2,46,2,-0.0156119,-0.034099,0.00672788,0.01574,0.00112934,CHS,EAS
HG00536,2,2,35,1,-0.0156596,-0.034564,0.00662607,0.0147309,-0.00371864,CHS,EAS
HG00537,2,2,54,2,-0.0158097,-0.0351164,0.00674098,0.0157828,0.00283782,CHS,EAS
HG00542,2,1,48,1,-0.0157317,-0.034235,0.00600308,0.0151687,0.00387494,CHS,EAS
HG00543,1,2,54,2,-0.0155025,-0.0351474,0.00541712,0.0139323,-0.00486146,CHS,EAS
HG00551,2,2,44,2,-0.00771867,0.0181043,0.0181328,0.00275402,0.00313264,PUR,AMR
HG00553,1,1,73,1,-0.00342419,0.0137494,0.0165002,-0.00558571,-0.00296499,PUR,AMR
HG00554,2,2,69,2,-0.00767891,0.0198385,0.0142294,0.00441161,-0.0024962,PUR,AMR
HG00556,1,2,37,1,-0.0158153,-0.0346114,0.00685931,0.015213,0.000378042,CHS,EAS
HG00557,1,1,48,2,-0.0154641,-0.0350926,0.00712051,0.0142328,-0.00100779,CHS,EAS
HG00559,1,1,42,1,-0.0155185,-0.0334328,0.00556765,0.0124601,0.00126768,CHS,EAS
HG00560,1,1,57,2,-0.01559,-0.0346973,0.00443254,0.0133873,0.000768806,CHS,EAS
HG00565,1,2,37,1,-0.0155945,-0.0345719,0.00563471,0.0143203,0.000226381,CHS,EAS
HG00566,2,1,48,2,-0.0156967,-0.0343818,0.0056462,0.0131926,-0.00147743,CHS,EAS
HG00580,1,1,51,1,-0.0158721,-0.0345069,0.0066713,0.0141335,0.00394077,CHS,EAS
HG00581,1,1,52,2,-0.0157964,-0.0348395,0.00663801,0.0149888,0.00529348,CHS,EAS
HG00583,1,1,50,1,-0.0157635,-0.034726,0.00613907,0.0170014,-0.00603261,CHS,EAS
HG00584,1,1,49,2,-0.0155851,-0.0345756,0.00630453,0.0163514,0.00461325,CHS,EAS
HG00589,2,1,42,1,-0.0158576,-0.0344755,0.0073653,0.0140604,0.00232156,CHS,EAS
HG00590,1,1,42,2,-0.0157163,-0.033582,0.00504539,0.0154524,-0.000159882,CHS,EAS
HG00592,2,1,48,1,-0.0155524,-0.0327817,0.00636772,0.0112694,0.00736086,CHS,EAS
HG00593,1,2,25,2,-0.0154355,-0.0345135,0.00427681,0.0142067,-0.00356531,CHS,EAS
HG00595,1,1,64,1,-0.0158039,-0.0341839,0.0042321,0.0145719,-0.0022849,CHS,EAS
HG00596,1,2,39,2,-0.0157492,-0.034842,0.00480622,0.0135882,0.00030222,CHS,EAS
HG00598,1,1,46,1,-0.0153531,-0.0344263,0.00291441,0.0124998,-0.0136476,CHS,EAS
HG00599,2,2,61,2,-0.0151212,-0.0338095,0.0032787,0.0107946,-0.00974786,CHS,EAS
HG00607,2,1,44,1,-0.015794,-0.034444,0.00625401,0.0158964,0.00441021,CHS,EAS
HG00608,1,2,60,2,-0.0158584,-0.0347585,0.00785629,0.0163306,0.00284204,CHS,EAS
HG00610,2,1,53,1,-0.0156181,-0.0344065,0.00612303,0.0155546,0.00670495,CHS,EAS
HG00611,1,1,44,2,-0.0159607,-0.0344383,0.00773545,0.0139646,0.00598968,CHS,EAS
HG00613,2,2,38,1,-0.0159608,-0.0347078,0.00631158,0.0156571,0.00315821,CHS,EAS
HG00614,1,1,57,2,-0.0156263,-0.0346268,0.00615024,0.015938,0.00414985,CHS,EAS
HG00619,2,2,51,1,-0.0158439,-0.0343533,0.00809789,0.0168976,0.00116476,CHS,EAS
HG00620,1,2,52,2,-0.0158938,-0.0346366,0.00700208,0.0165193,0.00151456,CHS,EAS
HG00622,1,1,61,1,-0.0151552,-0.0342179,0.00333406,0.0122147,-0.0147168,CHS,EAS
HG00623,1,2,38,2,-0.0149358,-0.0341456,0.00181215,0.0116403,-0.0157098,CHS,EAS
HG00625,1,1,55,1,-0.0156503,-0.033591,0.00529294,0.0149946,0.00166116,CHS,EAS
HG00626,1,1,65,2,-0.0160566,-0.03467,0.00658084,0.0164459,0.00789314,CHS,EAS
HG00628,1,1,48,1,-0.0156466,-0.0337753,0.00732628,0.0149636,0.00391643,CHS,EAS
HG00629,2,1,47,2,-0.0157351,-0.0345726,0.00786272,0.0147416,0.00489084,CHS,EAS
HG00631,1,1,50,1,-0.0153932,-0.0344132,0.00307988,0.0120224,-0.0152907,CHS,EAS
HG00632,1,1,55,2,-0.0154157,-0.0343057,0.00216668,0.0128923,-0.0122838,CHS,EAS
HG00634,2,1,52,1,-0.0156731,-0.0342652,0.00653736,0.0160067,0.00729696,CHS,EAS
HG00637,1,1,49,1,-0.00429631,0.0165241,0.0153345,0.0014598,-0.00494724,PUR,AMR
